Apartment Name,Company,Location,Price,Size,Bedrooms,Furnished,Pets
The Flats,Asset Campus Housing,"852 W Main St, Charlottesville, VA 22903",1720,1004,3,Yes,Yes
The Standard,Landmark Properties,"853 W Main St, Charlottesville, VA 22903",2050,840,2,Yes,No
Venable,RealProperty,"Venable Apartments, 13th St NW, Charlottesville, VA 22903",2500,1200,2,No,No
Grandmarc,GreyStar,"301 15th St NW, Charlotteville, VA 22903",1620,1400,4,Yes,No
1800 Jefferson Park Avenue,Nest Realty,"1800 Jefferson Park Avenue, Charlottesville, VA 22903",1500,1500,3,No,No
